,topology,centrality,position,label
0,1.6671901774581353e-15,0.9999999999999982,3.577664555146049e-19,1
1,5.984238294499499e-32,1.0,2.788701676045887e-30,0
2,1.1603077617400497e-30,1.0,2.0776433854212623e-30,0
3,4.615093972628997e-20,1.0,3.8451541204457773e-19,1
4,2.7727888468263125e-18,1.0,4.935684801527758e-20,1
5,7.202664146186042e-31,1.0,4.2177943138587906e-30,0
6,1.3866003035193231e-18,1.0,2.4309078802332633e-19,1
7,1.7283568836601255e-18,1.0,9.666529831594088e-20,1
8,7.592966563984919e-29,1.0,4.7226051653562774e-30,0
9,2.7443165213633296e-16,0.9999999999999885,1.1396752525078264e-14,2
10,2.2103373687756603e-29,1.0,4.171305882636727e-30,0
11,2.215050987387651e-12,0.9999999999973559,4.289652409043677e-13,2
12,1.1456164586362016e-17,1.0,2.3807018227279337e-18,1
13,9.550942245171085e-19,1.0,1.395589286726728e-19,1
14,3.868878627524356e-31,1.0,4.683829725900517e-30,0
15,6.426523677702096e-21,1.0,1.658436780989564e-19,1
16,1.1330458916699784e-17,1.0,6.733617771681118e-19,1
17,6.387109523134001e-19,1.0,7.956050302056244e-20,1
18,1.6016936728049412e-30,1.0,2.8744858555979436e-30,0
19,5.576873811544031e-14,0.9999999999999367,7.449796147876774e-15,2
20,1.1990212317591792e-31,1.0,4.346227163330174e-30,0
21,4.451701192408334e-19,1.0,1.0357178632426816e-19,1
22,7.679090791478675e-21,1.0,5.559427922609166e-20,1
23,5.249622294984969e-12,0.9999999999941347,6.157468707215651e-13,2
24,8.79109281187388e-11,0.9999999999111364,9.52611822185475e-13,2
25,2.815777373374174e-13,0.9999999999995453,1.73149452628166e-13,2
26,2.790898425835984e-18,1.0,4.712054449726714e-19,1
27,8.232635218865122e-30,1.0,5.313916273638006e-30,0
28,7.80211386789673e-14,0.9999999999992808,6.413642774755634e-13,2
29,7.072325156649319e-12,0.9999999999915301,1.3974609910863588e-12,2
30,3.6417762362413244e-28,1.0,4.4338968978373276e-30,0
31,1.0697929870695644e-31,1.0,4.778827132371414e-30,0
32,3.972626679930154e-09,0.9999999960265558,8.176594020050493e-13,2
